ID,StageName,AgeAtDeath,DateOfDeath,DeathCity_IntlProvince,DeathState_IntlCity,DeathCountry,SpecialDeathID,US_Region,International_Region
25,Jaco Pastorius,35,1987-09-21,Fort Lauderdale,Florida,US,J3P587,South,N/A
26,Roy Orbison,52,1988-12-06,Hendersonville,Tennessee,US,R5O288,South,N/A
27,Sylvester,41,1988-12-16,San Francisco,California,US,S4J188,West,N/A
28,Sammy Davis Jr,64,1980-05-16,Beverly Hills,California,US,S6D490,West,N/A
29,Stevie Ray Vaughn,35,1990-08-27,East Troy,Wisconsin,US,S3V590,MidWest,N/A
30,Steve Clark,30,1981-01-08,Chelsea,London,England,S3C091,N/A,Europe
31,David Ruffin,50,1991-06-01,Philadelphia,Pennsylvania,US,D5R091,East,N/A
32,Miles Davis,65,1991-09-28,Santa Monica,California,US,M6D591,West,N/A
33,Bill Graham,60,1991-10-25,Vallejo,California,US,W6G091,West,N/A
34,Freddie Mercury,45,1991-11-24,London,N/A,England,F4B591,N/A,Europe
35,Mary Wells,49,1992-07-28,Los Angeles,California,US,M4W992,West,N/A
36,Eddie Kendricks,52,1939-12-17,Birmingham,Alabama,US,E5K292,South,N/A
37,Eddie Hazel,42,1992-12-23,Plainfield,New Jersey,US,E4H292,East,N/A
38,Dizzy Gillespie,75,1993-01-06,Englewood,New Jersey,US,J7G593,East,N/A
39,Frank Zappa,52,1993-12-04,Los Angeles,California,US,F5Z293,East,N/A
40,Kurt Cobain,27,1994-04-05,Seattle,Washington,US,K2C794,West,N/A
41,Easy-E,30,1995-03-26,Los Angeles,California,US,E3W095,West,N/A
42,Phyllis Hyman,45,1995-06-30,NYC,New York,US,P4H595,East,N/A
43,Bobby Debarge,39,1995-08-16,Grand Rapids,Michigan,US,R3D995,East,N/A
44,Bernard Edwards,43,1996-04-18,Tokyo,N/A,Japan,B4E396,N/A,Asia
45,Johnny Guitar Watson,61,1996-05-17,Yokohama,N/A,Japan,J6W196,N/A,Asia
46,Ella Fitzgerald,79,1996-06-15,Beverly Hills,California,US,E7F996,West,N/A
47,Tupac,25,1996-09-13,Las Vegas,Nevada,US,L2C596,West,N/A
48,The Notorius B.I.G.,24,1997-03-09,Los Angeles,California,US,C2W497,West,N/A
49,John Denver,53,1997-10-12,Pacific Grove,California,US,H5D397,West,N/A
50,Sonny Bono,62,1998-01-05,Stateline,Nevada,US,S6B298,West,N/A
51,Rob Pilatus,32,1988-04-03,Friedrichsdorf,N/A,Germany,R3P298,N/A,Europe
52,Tammy Wynette,55,1998-04-06,Nashville,Tennessee,US,V5P598,South,N/A
53,Linda McCartney,56,1998-04-17,Tuscon,Arizona,US,L5E698,Southwest,N/A
54,Eddie Rabbitt,56,1998-05-07,Nashville,Tennessee,US,E5R698,South,N/A
55,Frank Sinatra,82,1998-05-14,Los Angeles,California,US,F8S298,West,N/A
56,Roger Troutman,47,1999-04-25,Dayton,Ohio,US,J4T799,Midwest,N/A
57,Grover Washington Jr,56,1999-12-17,Manhattan,New York,US,G5W699,East,N/A
58,Curtis Mayfield,57,1999-12-26,Roswell,Georgia,US,C5M799,South,N/A
59,Big Pun,28,2000-02-07,White Plains,New York,US,C2R800,East,N/A
60,Pops Staples,89,2000-12-19,Chicago,Illinois,US,R8S500,Midwest,N/A
61,Joey Ramone,49,2001-04-15,Manhattan,New York,US,J4H901,East,N/A
62,John Lee Hooker,88,2001-06-21,Los Altos,California,US,J8H801,West,N/A
63,Aaliyah,22,2001-08-25,Abaco Islands,N/A,The Bahamas,A2H201,N/A,,Carribean
64,Left Eye,30,2002-04-25,La Cieba,N/A,Honduras,L3L001,N/A,South America
65,Jam Master Jay,37,2002-10-30,Queens,New York,US,J3M702,East,N/A
66,Barry White,58,2003-07-04,Los Angeles,California,US,B5C803,West,N/A
67,Johnny Cash,71,2003-09-12,Nashville,Tennessee,US,J7C103,South,N/A
68,Ray Charles,73,2004-06-10,Beverly Hills,California,US,R7R304,West,N/A
69,Rick James,56,2004-08-06,Los Angeles,California,US,J5J604,West,N/A
70,Luther Vandross,54,2005-07-01,Edison,New Jersey,US,L5V405,East,N/A
71,Wilson Pickett,64,2006-01-19,Reston,Virginia,US,W6P406,East,N/A
72,Gerald Levert,40,2006-11-10,Cleveland,Ohio,US,G4L006,Midwest,N/A
73,James Brown,73,2006-12-25,Atlanta,Georgia,US,J7B306,South,N/A
74,Ike Turner,76,2007-12-12,San Marcos,California,US,I7T607,West,N/A
75,Sean Levert,39,2008-03-30,Cleveland,Ohio,US,S3L908,MidWest,N/A
76,Issac Hayes,65,2008-08-10,Memphis,Tennessee,US,I6H508,South,N/A
77,Michael Jackson,50,2009-06-25,Los Angeles,California,US,M5J009,West,N/A
